case_id,dice,iou,sensitivity,specificity,precision,area_error,boundary_distance_proxy,mean_probability_inside_pred,empty_prediction
tensor(1416),0.42968924659384256,0.27363325740835964,0.9902112313243119,0.8968107350941992,0.2743754461151008,2.6089644512465493,29.188157414108378,0.9008345007896423,False
tensor(194),0.9700725180068345,0.9418842927946486,0.987854554542077,0.968694397691803,0.9529193385083822,0.03666125203039695,2.944118727285078,0.9562082290649414,False
tensor(235),0.9027474242901079,0.8227343861159288,0.9450890668414358,0.9798141123755243,0.8640370536391451,0.09380617747921387,8.600758270751598,0.9380491375923157,False
tensor(399),0.9368048718231529,0.8811222389910748,0.9539546973638771,0.9874852420307106,0.9202607823476124,0.036613442257433244,5.53614249699248,0.913158118724823,False
tensor(336),0.9117427447859233,0.8378007501608371,0.8822736030834187,0.9865017148456804,0.9432485322899204,0.06464354527907204,6.925180548059183,0.9343934059143066,False
tensor(1290),0.9577103981186844,0.9188524920427138,0.9319574989786189,0.995521621968439,0.9849270104518228,0.05378013894542795,9.381213662480317,0.9184792637825012,False
tensor(620),0.6816824966165079,0.5170852202751304,0.9048991354535375,0.9896942937472878,0.546800174159913,0.654899135399503,5.9253347823591,0.9082275629043579,False
tensor(878),0.731057081597696,0.5761150253464593,0.592161745913451,0.9881752291918977,0.9550763701709473,0.3799849264332012,20.12549146184911,0.8660119771957397,False
tensor(1213),0.6102994012022718,0.43915891073010754,0.6701735928545457,0.979715612892777,0.560246262102897,0.196212519721299,17.947668708522727,0.860604465007782,False
tensor(362),0.8725673805067329,0.7739419326889573,0.8436466698163925,0.9702841706063039,0.9035413153461065,0.06628877342124748,11.32382557331121,0.921577513217926,False
tensor(942),0.6202262142407171,0.4495129713622382,0.997432056494812,0.9417151861819746,0.4500337935748765,1.2163492402906837,27.938597221125246,0.9277260899543762,False
tensor(625),0.9111905535696865,0.8368687069692488,0.8374019354074413,0.9997929847714425,0.9992396882721952,0.16196089363162772,6.06594680347396,0.9489328265190125,False
tensor(771),0.8383880037494343,0.7217453043327842,0.7671514818896327,0.9895586627801175,0.9242086122826332,0.16993688254548617,13.693223544375869,0.918662965297699,False
tensor(526),0.8828037323247417,0.790195740773835,0.8053118053129442,0.996166740909202,0.9767969914143418,0.17555867555764854,7.15557059363426,0.9344205856323242,False
tensor(1181),0.8520455545240431,0.742229413268576,0.756498719785807,0.9944176317149156,0.9752167832169218,0.22427635290446435,10.45118416929577,0.9277418255805969,False
